seed,protocol,fold_or_condition,threshold_source_partition,k,low_group_definition,gangue_group_definition,train_low_mean,train_low_var,train_gangue_mean,train_gangue_var,tau_low,tau_gangue,collapse_flag
43,heldout_overlay,hydraulic_support_-3dB,train,0.5000000000,coal+empty,gangue,0.3009641494,0.0017255537,0.7949809876,0.0017122894,0.3217340417,0.7742910782,0
43,heldout_overlay,hydraulic_support_-6dB,train,0.5000000000,coal+empty,gangue,0.2955091775,0.0035977095,0.7968249500,0.0013946683,0.3254996322,0.7781523210,0
43,heldout_overlay,mixed_equipment_0dB,train,0.5000000000,coal+empty,gangue,0.3007118733,0.0024188210,0.8103711836,0.0014584217,0.3253026287,0.7912765397,0
43,heldout_overlay,mixed_equipment_-3dB,train,0.5000000000,coal+empty,gangue,0.2994571842,0.0014775803,0.7929472098,0.0011995345,0.3186768376,0.7756300615,0
43,heldout_overlay,mixed_equipment_-6dB,train,0.5000000000,coal+empty,gangue,0.2934560698,0.0027225157,0.7876646806,0.0013108955,0.3195449357,0.7695615352,0
44,event_disjoint,S0,train,0.5000000000,coal+empty,gangue,0.2936803011,0.0029099454,0.7848664919,0.0014278230,0.3206522560,0.7659732193,0
44,event_disjoint,S1,train,0.5000000000,coal+empty,gangue,0.3223321372,0.0023299627,0.7869602982,0.0018301968,0.3464669808,0.7655698985,0
44,event_disjoint,S2,train,0.5000000000,coal+empty,gangue,0.3104251351,0.0026101722,0.7936147492,0.0012062903,0.3359700573,0.7762489041,0
44,event_disjoint,S3,train,0.5000000000,coal+empty,gangue,0.3259974926,0.0035968654,0.8014897689,0.0017875579,0.3559844289,0.7803500084,0
44,event_disjoint,S4,train,0.5000000000,coal+empty,gangue,0.3141972498,0.0021388799,0.7973645595,0.0016597990,0.3373212628,0.7769942441,0
44,event_disjoint,S5,train,0.5000000000,coal+empty,gangue,0.2923977171,0.0024615094,0.7990272923,0.0021600731,0.3172045176,0.7757889990,0
44,event_disjoint,S6,train,0.5000000000,coal+empty,gangue,0.2975029549,0.0023518456,0.7806184846,0.0013270264,0.3217508703,0.7624042978,0
44,group_lonso,S0,train,0.5000000000,coal+empty,gangue,0.3093163467,0.0021163261,0.7930889559,0.0021457002,0.3323181189,0.7699281042,0
44,group_lonso,S1,train,0.5000000000,coal+empty,gangue,0.2929137310,0.0032367238,0.7962651768,0.0013735905,0.3213598371,0.7777341859,0
44,group_lonso,S2,train,0.5000000000,coal+empty,gangue,0.3092485968,0.0033700571,0.7933719808,0.0015733841,0.3382746932,0.7735390278,0
44,group_lonso,S3,train,0.5000000000,coal+empty,gangue,0.3109198782,0.0020618087,0.7817759162,0.0017398591,0.3336234501,0.7609201071,0
44,group_lonso,S4,train,0.5000000000,coal+empty,gangue,0.3011641328,0.0033434444,0.7959577879,0.0011028785,0.3300753953,0.7793529806,0
44,group_lonso,S5,train,0.5000000000,coal+empty,gangue,0.3109984687,0.0025795956,0.7697238698,0.0011704469,0.3363933284,0.7526179724,0
44,group_lonso,S6,train,0.5000000000,coal+empty,gangue,0.3118754756,0.0018861258,0.8122997693,0.0011839080,0.3335902505,0.7950957872,0
